Menu_Item_ID,Year,Restaurant_Item_Name,restaurant,Restaurant_ID,Item_Name,Item_Description,Food_Category,Serving_Size,Serving_Size_text,Serving_Size_Unit,Serving_Size_household,Calories,Total_Fat,Saturated_Fat,Trans_Fat,Cholesterol,Sodium,Potassium,Carbohydrates,Protein,Sugar,Dietary_Fiber
102773,2018,Tim Hortons Angus Steak & Cheese Panini,Tim Hortons,86,Angus Steak & Cheese Panini,"Angus Steak & Cheese Panini, Sandwiches, Panini, Wraps, Grilled Panini & Sandwiches, Sandwiches & Hot Bowls",Sandwiches,186,,g,,400,17,7,0,65,1120,,35,27,2,2
27,2018,Burger King Double Whopper Sandwich w/ Cheese & Mayo,Burger King,12,Double Whopper Sandwich w/ Cheese & Mayo,"Double Whopper Sandwich w/ Cheese & Mayo, Whopper Sandwiches",Burgers,377,,g,,900,58,20,3,195,1410,,50,48,11,2
102788,2018,"Tim Hortons Sausage, Egg White & Cheese on Biscuit",Tim Hortons,86,"Sausage, Egg White & Cheese on Biscuit","Sausage, Egg White & Cheese on Biscuit, Breakfast Sandwiches, Breakfast, Breakfast & Snacks, Good Source of Calcium",Sandwiches,189,,g,,470,29,15,0,50,1050,,32,19,4,2
124833,2018,Tim Hortons Italiano Grilled Bagel Sandwich,Tim Hortons,86,Italiano Grilled Bagel Sandwich,"Italiano Grilled Bagel Sandwich w/ Ham, Pepperoni, Mozzarella, Spinach, Red Onions & Pesto Sauce on Sundried Tomato Asiago Bagel, Sandwiches, Panini, Wraps, Grilled Panini & Sandwiches, Sandwiches & Hot Bowls",Sandwiches,278,,g,,640,27,11,0,85,2320,,64,36,6,4
45211,2018,Jersey Mike's Subs #11 Stickball Special on Wheat Regular,Jersey Mike's Subs,45,#11 Stickball Special on Wheat Regular,"#11 Stickball Special on Wheat Regular w/ Provolone, Ham & Salami, Cold Subs",Sandwiches,405,,g,,610,21,10,0,85,2105,,69,37,8,5
170698,2018,"Bob Evans Farm Boy Sandwich, Low Calorie",Bob Evans,8,"Farm Boy Sandwich, Low Calorie","Farm Boy Sandwich w/ Sausage Patty, American Cheese, Lettuce, Onions, Pickles, Kaiser Bun, Green Beans & Ham, Sandwiches, Lunch, Carryout, Low Calorie",Sandwiches,363,,g,,650,37,14,1,110,1920,,46,30,6,5
4244,2018,Tim Hortons Turkey Bacon Club Sandwich,Tim Hortons,86,Turkey Bacon Club Sandwich,"Turkey Bacon Club Sandwich w/ Turkey Breast, Bacon, Cheddar Cheese, Lettuce & Tomato on Ciabatta Bun, Handcrafted Sandwiches, Sandwiches & Hot Bowls, Sandwiches, Panini, Wraps, Good Source of Calcium",Sandwiches,250,,g,,510,27,9,0,80,1650,,36,28,2,2
45206,2018,Jersey Mike's Subs #10 Tuna Salad on White Mini,Jersey Mike's Subs,45,#10 Tuna Salad on White Mini,"#10 Tuna Salad on White Mini w/ Tuna, Celery, Mayonnaise & Pepper, Cold Subs,  also called Albacore Tuna Salad",Sandwiches,269,,g,,490,25,3.5,0,50,890,,45,19,4,2
23836,2018,Subway Spicy Italian Salad,Subway,82,Spicy Italian Salad,"Spicy Italian Salad w/ Lettuce, Spinach, Tomatoes, Onions, Green Peppers, Cucumbers & Olives w/out Dressing, Chopped Salads, Salads; Choice of Adding: Salad Dressing",Salads,347,,g,,310,23,8,0.5,50,1290,,13,14,8,4
3643,2018,Einstein Bros Cinnamon Walnut Strudel,Einstein Bros,31,Cinnamon Walnut Strudel,"Cinnamon Walnut Strudel, Sweets, Other Sweets, Sweets & Snacks",Baked Goods,170,,g,,640,35,11,0,30,500,,71,10,32,4
