No.,Item_Name,Food_Category,Serving_Size,Calories,Total_Fat,Saturated_Fat,Trans_Fat,Cholesterol,Sodium,Carbohydrates,Protein,Sugar,Dietary_Fiber
168,Chef Salad,Salads,458,255,10,6,0,60,635,16,25,8,4
61,Herbed Chicken & Fig Spread Small Sandwich,Sandwiches,156,300,8,2,0,45,720,43,19,9,2
193,Pastrami & Swiss on White Giant,Sandwiches,587,1260,40,20,0,195,4330,138,86,12,4
138,Buffalo Chicken Wrap on Tomato Wrap,Sandwiches,475,840,43,15,0,130,2970,63,50,13,5
238,#19 BBQ Beef on White Regular,Sandwiches,357,780,18,5.5,0,130,1765,96,59,27,2
32,"California Dreamin, In a Tub",Salads,290,190,7,1.5,0,35,820,9,22,5,4
172,Crispy Fish Flatbread Sandwich,Sandwiches,253,620,28,4,0,45,1100,72,20,6,3
37,"#16 Chicken Philly Cheese Steak, Flour Tortilla Wrap",Sandwiches,387,740,29,13.5,0,55,2075,65,56,9,5
